parent_id,child_id,parent_name,child_name,depth,relation
1,2,ВТ_ТипыРезервов,Часть_1,1,union_part
1,3,ВТ_ТипыРезервов,Часть_2,1,union_part
1,4,ВТ_ТипыРезервов,Часть_3,1,union_part
1,5,ВТ_ТипыРезервов,Часть_4,1,union_part
1,6,ВТ_ТипыРезервов,Часть_5,1,union_part
1,7,ВТ_ТипыРезервов,Часть_6,1,union_part
1,8,ВТ_ТипыРезервов,Часть_7,1,union_part
1,9,ВТ_ТипыРезервов,Часть_8,1,union_part
1,10,ВТ_ТипыРезервов,Часть_9,1,union_part
1,11,ВТ_ТипыРезервов,Часть_10,1,union_part
1,12,ВТ_ТипыРезервов,Часть_11,1,union_part
1,13,ВТ_ТипыРезервов,Часть_12,1,union_part
1,14,ВТ_ТипыРезервов,Часть_13,1,union_part
1,15,ВТ_ТипыРезервов,Часть_14,1,union_part
17,18,ВТ_ДокументыСторно,Часть_1,1,union_part
17,19,ВТ_ДокументыСторно,Часть_2,1,union_part
17,20,ВТ_ДокументыСторно,Часть_3,1,union_part
17,21,ВТ_ДокументыСторно,Часть_4,1,union_part
24,25,ВТ_ПенсионныеСчета_ПР,Подзапрос_1,1,parent_child
24,26,ВТ_ПенсионныеСчета_ПР,Подзапрос_2,1,parent_child
24,27,ВТ_ПенсионныеСчета_ПР,Подзапрос_3,1,parent_child
24,28,ВТ_ПенсионныеСчета_ПР,Подзапрос_4,1,parent_child
24,29,ВТ_ПенсионныеСчета_ПР,Подзапрос_5,1,parent_child
24,30,ВТ_ПенсионныеСчета_ПР,Подзапрос_6,1,parent_child
24,31,ВТ_ПенсионныеСчета_ПР,Подзапрос,1,parent_child
31,32,Подзапрос,Часть_1,2,union_part
31,33,Подзапрос,Часть_2,2,union_part
31,34,Подзапрос,Часть_3,2,union_part
31,35,Подзапрос,Часть_4,2,union_part
31,36,Подзапрос,Часть_5,2,union_part
31,37,Подзапрос,Часть_6,2,union_part
31,38,Подзапрос,Часть_7,2,union_part
31,39,Подзапрос,Часть_8,2,union_part
31,40,Подзапрос,Часть_9,2,union_part
31,41,Подзапрос,Часть_10,2,union_part
31,42,Подзапрос,Часть_11,2,union_part
43,44,ВТ_ПенсионныеСчета,Часть_1,1,union_part
43,45,ВТ_ПенсионныеСчета,Часть_2,1,union_part
46,47,ВТ_ПричиныЗакрытия,Подзапрос_7,1,parent_child
48,49,ВТ_ВидыПенсионныхСчетов,Подзапрос_8,1,parent_child
50,51,ВТ_ПенсионныеСчетаРПВ,Подзапрос_9,1,parent_child
52,53,ВТ_ТипыПенсийНачалоПериода,Подзапрос_10,1,parent_child
54,55,ВТ_ВыплатныеНачалоПериода,Подзапрос_11,1,parent_child
56,57,ВТ_СостояниеНачалоПериода,Подзапрос_12,1,parent_child
59,60,ВТ_ИзмененияВидаОбязательств_Предв,уп_СостоянияПС,1,parent_child
59,61,ВТ_ИзмененияВидаОбязательств_Предв,уп_СхемаСчета,1,parent_child
63,64,ВТ_ВидыОбязательств,Часть_1,1,union_part
63,65,ВТ_ВидыОбязательств,Часть_2,1,union_part
71,72,ВТ_СторнированныеСуммыТранзитныеВиды,Часть_1,1,union_part
71,73,ВТ_СторнированныеСуммыТранзитныеВиды,Часть_2,1,union_part
74,75,ВТ_ОстаткиТранзитныеВиды,ПодЗапрос,1,parent_child
75,76,ПодЗапрос,Часть_1,2,union_part
75,77,ПодЗапрос,Часть_2,2,union_part
74,78,ВТ_ОстаткиТранзитныеВиды,Часть_1,1,union_part
74,79,ВТ_ОстаткиТранзитныеВиды,Часть_2,1,union_part
74,80,ВТ_ОстаткиТранзитныеВиды,Часть_3,1,union_part
74,81,ВТ_ОстаткиТранзитныеВиды,Часть_4,1,union_part
74,82,ВТ_ОстаткиТранзитныеВиды,Часть_5,1,union_part
83,84,ВТ_Суммы_ПР_ТранзитныеВиды,ПодЗапрос,1,parent_child
84,85,ПодЗапрос,Часть_1,2,union_part
84,86,ПодЗапрос,Часть_2,2,union_part
84,87,ПодЗапрос,Часть_3,2,union_part
84,88,ПодЗапрос,Часть_4,2,union_part
89,90,ВТ_ВыплатыПРТранзитныеВиды,Часть_1,1,union_part
89,91,ВТ_ВыплатыПРТранзитныеВиды,Часть_2,1,union_part
89,92,ВТ_ВыплатыПРТранзитныеВиды,Часть_3,1,union_part
89,93,ВТ_ВыплатыПРТранзитныеВиды,Часть_4,1,union_part
89,94,ВТ_ВыплатыПРТранзитныеВиды,Часть_5,1,union_part
96,97,ВТ_ПеремещенияВСтраховойРезервТранзитныеВиды,Подзапрос_13,1,parent_child
98,99,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,Часть_1,1,union_part
98,100,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,Часть_2,1,union_part
101,102,ВТ_ПереводыИзРегистров_РегистрыТранзитныеВиды,Часть_1,1,union_part
101,103,ВТ_ПереводыИзРегистров_РегистрыТранзитныеВиды,Часть_2,1,union_part
107,108,ВТ_ТранзитныеВиды_ГруппыСчетов,Подзапрос,1,parent_child
109,110,ВТ_ТранзитныеВиды_ТипыДоговоровЕПС,Подзапрос,1,parent_child
111,112,ВТ_ТранзитныеВиды_ДатыФиксации,Подзапрос,1,parent_child
113,114,ВТ_ТранзитныеВиды_ПериодыГарантВосполнения,Подзапрос,1,parent_child
117,118,ВТ_ПенсионныеСчета_Свойства,Подзапрос_14,1,parent_child
117,119,ВТ_ПенсионныеСчета_Свойства,Подзапрос_15,1,parent_child
117,120,ВТ_ПенсионныеСчета_Свойства,Подзапрос_16,1,parent_child
117,121,ВТ_ПенсионныеСчета_Свойства,Подзапрос_17,1,parent_child
117,122,ВТ_ПенсионныеСчета_Свойства,Подзапрос_18,1,parent_child
123,124,ВТ_СостоянияПенсионныхСчетов,Подзапрос_19,1,parent_child
130,131,ВТ_ПараметрыПенсионныхДоговоров,Подзапрос_20,1,parent_child
132,133,ВТ_ПенсионныеДоговоры_Свойства,Подзапрос_21,1,parent_child
134,135,ВТ_СхемыПенсионныхСчетов,Подзапрос_22,1,parent_child
138,139,ВТ_СхемыПенсионныхСчетов_ТранзитныеОбязательства,Подзапрос,1,parent_child
141,142,ВТ_ФизическиеЛица,Часть_1,1,union_part
141,143,ВТ_ФизическиеЛица,Часть_2,1,union_part
144,145,ВТ_ВкладчикиУчастники,Часть_1,1,union_part
144,146,ВТ_ВкладчикиУчастники,Часть_2,1,union_part
147,148,ВТ_ДанныеКонтрагентов,Часть_1,1,union_part
147,149,ВТ_ДанныеКонтрагентов,Часть_2,1,union_part
150,151,ВТ_ФИО_ФЛ,Подзапрос_23,1,parent_child
153,154,ВТ_ПаспортныеДанные_ПоследняяЗапись,Подзапрос_24,1,parent_child
155,156,ВТ_ПаспортныеДанные_1,Подзапрос_25,1,parent_child
160,161,ВТ_Идентификаторы264,Часть_1,1,union_part
160,162,ВТ_Идентификаторы264,Часть_2,1,union_part
166,167,ВТ_ГражданствоФизическихЛиц,Подзапрос_26,1,parent_child
168,169,ВТ_ИдентификаторыКонтрагентов_Старые,Часть_1,1,union_part
168,170,ВТ_ИдентификаторыКонтрагентов_Старые,Часть_2,1,union_part
171,172,ВТ_Корректировки,Подзапрос_27,1,parent_child
173,174,ВТ_Суммы_ПР,Подзапрос_28,1,parent_child
173,175,ВТ_Суммы_ПР,Подзапрос_29,1,parent_child
173,176,ВТ_Суммы_ПР,Подзапрос_30,1,parent_child
173,177,ВТ_Суммы_ПР,Подзапрос_31,1,parent_child
173,178,ВТ_Суммы_ПР,Подзапрос_32,1,parent_child
173,179,ВТ_Суммы_ПР,Подзапрос_33,1,parent_child
173,180,ВТ_Суммы_ПР,Подзапрос_34,1,parent_child
173,181,ВТ_Суммы_ПР,Подзапрос_35,1,parent_child
173,182,ВТ_Суммы_ПР,Подзапрос_36,1,parent_child
173,183,ВТ_Суммы_ПР,Подзапрос_37,1,parent_child
173,184,ВТ_Суммы_ПР,Часть_1,1,union_part
173,185,ВТ_Суммы_ПР,Часть_2,1,union_part
173,186,ВТ_Суммы_ПР,Часть_3,1,union_part
173,187,ВТ_Суммы_ПР,Часть_4,1,union_part
173,188,ВТ_Суммы_ПР,Часть_5,1,union_part
173,189,ВТ_Суммы_ПР,Часть_6,1,union_part
173,190,ВТ_Суммы_ПР,Часть_7,1,union_part
173,191,ВТ_Суммы_ПР,Часть_8,1,union_part
173,192,ВТ_Суммы_ПР,Часть_9,1,union_part
173,193,ВТ_Суммы_ПР,Часть_10,1,union_part
173,194,ВТ_Суммы_ПР,Часть_11,1,union_part
196,197,ВТ_СуммыКоэффициентыВС_предв,ДоговорКоэфДляРасчетаВыкупныхСумм,1,parent_child
196,198,ВТ_СуммыКоэффициентыВС_предв,ШаблонКоэфДляРасчетаВыкупныхСумм,1,parent_child
196,199,ВТ_СуммыКоэффициентыВС_предв,СхемаКоэфДляРасчетаВыкупныхСумм,1,parent_child
196,200,ВТ_СуммыКоэффициентыВС_предв,БудущееДоговорКоэфДляРасчетаВыкупныхСумм,1,parent_child
196,201,ВТ_СуммыКоэффициентыВС_предв,БудущееШаблонКоэфДляРасчетаВыкупныхСумм,1,parent_child
196,202,ВТ_СуммыКоэффициентыВС_предв,БудущееСхемаКоэфДляРасчетаВыкупныхСумм,1,parent_child
205,206,ВТ_Сумма_ПР_дляПП,ДоговорКоэфДляРасчетаВыкупныхСумм,1,parent_child
205,207,ВТ_Сумма_ПР_дляПП,ШаблонКоэфДляРасчетаВыкупныхСумм,1,parent_child
205,208,ВТ_Сумма_ПР_дляПП,СхемаКоэфДляРасчетаВыкупныхСумм,1,parent_child
212,213,ВТ_Суммы_ПР_С_Обязательствами,Часть_1,1,union_part
212,214,ВТ_Суммы_ПР_С_Обязательствами,Часть_2,1,union_part
212,215,ВТ_Суммы_ПР_С_Обязательствами,Часть_3,1,union_part
217,218,ВТ_НачисленияПенсийПоСчетам,Подзапрос_38,1,parent_child
217,219,ВТ_НачисленияПенсийПоСчетам,Регистры,1,parent_child
219,220,Регистры,Часть_1,2,union_part
219,221,Регистры,Часть_2,2,union_part
223,224,ВТ_НачисленияСолидарныхСчетовКРаспределению,Подзапрос_39,1,parent_child
223,225,ВТ_НачисленияСолидарныхСчетовКРаспределению,Подзапрос_40,1,parent_child
226,227,ВТ_ДвиженияПоРегистраторам,Подзапрос_41,1,parent_child
229,230,ВТ_ПеремещенияВСтраховойРезерв,Подзапрос_42,1,parent_child
231,232,ВТ_ВозвратыПенсий,Подзапрос_43,1,parent_child
233,234,ВТ_ПереводыИзРегистров_Резервы,Часть_1,1,union_part
233,235,ВТ_ПереводыИзРегистров_Резервы,Часть_2,1,union_part
236,237,ВТ_ПереводыИзРегистров_Регистры,Часть_1,1,union_part
236,238,ВТ_ПереводыИзРегистров_Регистры,Часть_2,1,union_part
236,239,ВТ_ПереводыИзРегистров_Регистры,Часть_3,1,union_part
241,242,ВТ_ПереводыПР,Подзапрос,1,parent_child
242,243,Подзапрос,Часть_1,2,union_part
242,244,Подзапрос,Часть_2,2,union_part
241,245,ВТ_ПереводыПР,Часть_1,1,union_part
241,246,ВТ_ПереводыПР,Часть_2,1,union_part
241,247,ВТ_ПереводыПР,Часть_3,1,union_part
241,248,ВТ_ПереводыПР,Часть_4,1,union_part
241,249,ВТ_ПереводыПР,Часть_5,1,union_part
241,250,ВТ_ПереводыПР,Часть_6,1,union_part
252,253,ВТ_СторнированныеСуммы,Подзапрос_44,1,parent_child
252,254,ВТ_СторнированныеСуммы,Подзапрос_45,1,parent_child
255,256,ВТ_ВыплатыПР,Подзапрос_46,1,parent_child
255,257,ВТ_ВыплатыПР,Подзапрос_47,1,parent_child
255,258,ВТ_ВыплатыПР,Подзапрос_48,1,parent_child
255,259,ВТ_ВыплатыПР,Подзапрос_49,1,parent_child
255,260,ВТ_ВыплатыПР,Подзапрос_50,1,parent_child
255,261,ВТ_ВыплатыПР,Часть_1,1,union_part
255,262,ВТ_ВыплатыПР,Часть_2,1,union_part
255,263,ВТ_ВыплатыПР,Часть_3,1,union_part
255,264,ВТ_ВыплатыПР,Часть_4,1,union_part
255,265,ВТ_ВыплатыПР,Часть_5,1,union_part
267,268,ВТ_МГД_ПР,Подзапрос_51,1,parent_child
271,272,ВТ_ПенсионныеСчета_НачалоВыплат,Подзапрос_52,1,parent_child
273,274,ВТ_ПериодичностьВыплат,Подзапрос_53,1,parent_child
277,278,ВТ_ДатыОкончанияСрочныхВыплат,Подзапрос_54,1,parent_child
279,280,ВТ_КоличествоВыплат,Подзапрос_55,1,parent_child
281,282,ВТ_РасходВыплат,Подзапрос_56,1,parent_child
285,286,ВТ_ПоследниеВыплатыПоРегиструВыплат,МаксДатаВыплаты,1,parent_child
285,287,ВТ_ПоследниеВыплатыПоРегиструВыплат,ПоследняяВыплата,1,parent_child
288,289,ВТ_РазмерПенсийФикс,Подзапрос_57,1,parent_child
293,294,ВТ_РезультатПредв,Часть_1,1,union_part
293,295,ВТ_РезультатПредв,Часть_2,1,union_part
293,296,ВТ_РезультатПредв,Часть_3,1,union_part
