id,name,type,parent_id,max_parent_id,children_count,own_in_tables_count,is_stub,is_union_part,union_parts
0,ВТ_ИСПОЛЬЗОВАТЬДЛЯНПО,temp_query,,0,0,0,true,false,
1,ВТ_ТипыРезервов,temp_query,,1,14,0,false,false,Часть_1;Часть_2;Часть_3;Часть_4;Часть_5;Часть_6;Часть_7;Часть_8;Часть_9;Часть_10;Часть_11;Часть_12;Часть_13;Часть_14
16,ВТ_ВидыПаспортов,temp_query,,16,0,1,false,false,
17,ВТ_ДокументыСторно,temp_query,,17,4,0,false,false,Часть_1;Часть_2;Часть_3;Часть_4
22,ВТ_ПереводыИзРегистров_ВидыДвижений,temp_query,,22,0,1,false,false,
23,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,temp_query,,23,0,1,false,false,
24,ВТ_ПенсионныеСчета_ПР,temp_query,,24,7,0,false,false,
43,ВТ_ПенсионныеСчета,temp_query,,43,2,0,false,false,Часть_1;Часть_2
46,ВТ_ПричиныЗакрытия,temp_query,,46,1,1,false,false,
48,ВТ_ВидыПенсионныхСчетов,temp_query,,48,1,1,false,false,
50,ВТ_ПенсионныеСчетаРПВ,temp_query,,50,1,1,false,false,
52,ВТ_ТипыПенсийНачалоПериода,temp_query,,52,1,1,false,false,
54,ВТ_ВыплатныеНачалоПериода,temp_query,,54,1,2,false,false,
56,ВТ_СостояниеНачалоПериода,temp_query,,56,1,3,false,false,
58,ВТ_ВидОбязательствНачало,temp_query,,58,0,3,false,false,
59,ВТ_ИзмененияВидаОбязательств_Предв,temp_query,,59,2,1,false,false,
62,ВТ_ИзмененияВидаОбязательств,temp_query,,62,0,1,false,false,
63,ВТ_ВидыОбязательств,temp_query,,63,2,0,false,false,Часть_1;Часть_2
66,ВТ_ВидыОбязательствДвижение,temp_query,,66,0,1,false,false,
67,ВТ_СчетаТранзитныеВидыОбязательств,temp_query,,67,0,1,false,false,
68,ВТ_СчетаНеТранзитныеВидыОбязательств,temp_query,,68,0,2,false,false,
69,ВТ_НеТранзитныеВидыНачалоКонец,temp_query,,69,0,2,false,false,
70,ВТ_ТранзитныеВидыНачалоКонец,temp_query,,70,0,2,false,false,
71,ВТ_СторнированныеСуммыТранзитныеВиды,temp_query,,71,2,0,true,false,Часть_1;Часть_2
74,ВТ_ОстаткиТранзитныеВиды,temp_query,,74,6,0,false,false,Часть_1;Часть_2;Часть_3;Часть_4;Часть_5
83,ВТ_Суммы_ПР_ТранзитныеВиды,temp_query,,83,1,0,false,false,
89,ВТ_ВыплатыПРТранзитныеВиды,temp_query,,89,5,0,false,false,Часть_1;Часть_2;Часть_3;Часть_4;Часть_5
95,ВТ_ВыплатыТранзитныеВиды,temp_query,,95,0,1,false,false,
96,ВТ_ПеремещенияВСтраховойРезервТранзитныеВиды,temp_query,,96,1,2,false,false,
98,ВТ_ПереводыИзРегистров_РезервыТранзитныеВиды,temp_query,,98,2,0,false,false,Часть_1;Часть_2
101,ВТ_ПереводыИзРегистров_РегистрыТранзитныеВиды,temp_query,,101,2,0,false,false,Часть_1;Часть_2
104,ВТ_ПереводыТранзитныеВиды,temp_query,,104,0,1,false,false,
105,ВТ_ОстаткиТранзитныеВиды_Предв,temp_query,,105,0,4,false,false,
106,ВТ_ТранзитныеВидыНачалоКонец_Суммы,temp_query,,106,0,1,false,false,
107,ВТ_ТранзитныеВиды_ГруппыСчетов,temp_query,,107,1,4,false,false,
109,ВТ_ТранзитныеВиды_ТипыДоговоровЕПС,temp_query,,109,1,1,false,false,
111,ВТ_ТранзитныеВиды_ДатыФиксации,temp_query,,111,1,1,false,false,
113,ВТ_ТранзитныеВиды_ПериодыГарантВосполнения,temp_query,,113,1,1,false,false,
115,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,temp_query,,115,0,10,false,false,
116,ВТ_ПенсионныеСчетаСПТ,temp_query,,116,0,5,false,false,
117,ВТ_ПенсионныеСчета_Свойства,temp_query,,117,5,14,false,false,
123,ВТ_СостоянияПенсионныхСчетов,temp_query,,123,1,2,false,false,
125,ВТ_ПенсионныеСчета_НеИПС,temp_query,,125,0,1,false,false,
126,ВТ_СчетаДоговоров_СчетаУчастников,temp_query,,126,0,1,true,false,
127,ВТ_ПенсионныеСчета_Орг_ПС_ТР,temp_query,,127,0,2,false,false,
128,ВТ_ПенсионныеСчета_Орг_Уч_ПС,temp_query,,128,0,1,false,false,
129,ВТ_ПенсионныеДоговоры,temp_query,,129,0,1,false,false,
130,ВТ_ПараметрыПенсионныхДоговоров,temp_query,,130,1,1,false,false,
132,ВТ_ПенсионныеДоговоры_Свойства,temp_query,,132,1,7,false,false,
134,ВТ_СхемыПенсионныхСчетов,temp_query,,134,1,4,false,false,
136,ВТ_ПенсионныеСхемы,temp_query,,136,0,1,false,false,
137,ВТ_Схемы_Свойства,temp_query,,137,0,2,false,false,
138,ВТ_СхемыПенсионныхСчетов_ТранзитныеОбязательства,temp_query,,138,1,4,false,false,
140,ВТ_Вкладчики,temp_query,,140,0,1,false,false,
141,ВТ_ФизическиеЛица,temp_query,,141,2,0,false,false,Часть_1;Часть_2
144,ВТ_ВкладчикиУчастники,temp_query,,144,2,0,false,false,Часть_1;Часть_2
147,ВТ_ДанныеКонтрагентов,temp_query,,147,2,0,false,false,Часть_1;Часть_2
150,ВТ_ФИО_ФЛ,temp_query,,150,1,1,false,false,
152,ВТ_ФИО_ИП,temp_query,,152,0,2,false,false,
153,ВТ_ПаспортныеДанные_ПоследняяЗапись,temp_query,,153,1,2,false,false,
155,ВТ_ПаспортныеДанные_1,temp_query,,155,1,2,false,false,
157,ВТ_ПаспортныеДанные_Cleared,temp_query,,157,0,1,false,false,
158,ВТ_ПаспортныеДанные,temp_query,,158,0,1,false,false,
159,ВТ_Данные_к,temp_query,,159,0,4,false,false,
160,ВТ_Идентификаторы264,temp_query,,160,2,0,false,false,Часть_1;Часть_2
163,ВТ_ИдентификаторыКонтрагентов,temp_query,,163,0,1,false,false,
164,ВТ_ФизическиеЛица_Свойства,temp_query,,164,0,2,false,false,
165,ВТ_ФизическиеЛица_ДляПаспортов,temp_query,,165,0,1,false,false,
166,ВТ_ГражданствоФизическихЛиц,temp_query,,166,1,1,false,false,
168,ВТ_ИдентификаторыКонтрагентов_Старые,temp_query,,168,2,0,false,false,Часть_1;Часть_2
171,ВТ_Корректировки,temp_query,,171,1,2,false,false,
173,ВТ_Суммы_ПР,temp_query,,173,21,0,false,false,Часть_1;Часть_2;Часть_3;Часть_4;Часть_5;Часть_6;Часть_7;Часть_8;Часть_9;Часть_10;Часть_11
195,ВТ_Суммы_ПР_дляВС,temp_query,,195,0,3,false,false,
196,ВТ_СуммыКоэффициентыВС_предв,temp_query,,196,6,3,false,false,
203,ВТ_СуммыКоэффициентыВС,temp_query,,203,0,1,false,false,
204,ВТ_РасчетнаяДатаВС,temp_query,,204,0,1,false,false,
205,ВТ_Сумма_ПР_дляПП,temp_query,,205,3,2,false,false,
209,ВТ_РасчетныеСуммыПП_пред,temp_query,,209,0,1,false,false,
210,ВТ_ОстаткиНаследников,temp_query,,210,0,1,false,false,
211,ВТ_РасчетныеСуммыПП,temp_query,,211,0,2,false,false,
212,ВТ_Суммы_ПР_С_Обязательствами,temp_query,,212,3,0,false,false,Часть_1;Часть_2;Часть_3
216,ВТ_Суммы,temp_query,,216,0,1,false,false,
217,ВТ_НачисленияПенсийПоСчетам,temp_query,,217,2,0,false,false,
222,ВТ_РегистраторыНачисленийСолидарныхСчетов,temp_query,,222,0,2,false,false,
223,ВТ_НачисленияСолидарныхСчетовКРаспределению,temp_query,,223,2,2,false,false,
226,ВТ_ДвиженияПоРегистраторам,temp_query,,226,1,1,false,false,
228,ВТ_ДвиженияПоДокументам,temp_query,,228,0,1,false,false,
229,ВТ_ПеремещенияВСтраховойРезерв,temp_query,,229,1,2,false,false,
231,ВТ_ВозвратыПенсий,temp_query,,231,1,2,true,false,
233,ВТ_ПереводыИзРегистров_Резервы,temp_query,,233,2,0,false,false,Часть_1;Часть_2
236,ВТ_ПереводыИзРегистров_Регистры,temp_query,,236,3,0,false,false,Часть_1;Часть_2;Часть_3
240,ВТ_Переводы,temp_query,,240,0,1,false,false,
241,ВТ_ПереводыПР,temp_query,,241,7,0,false,false,Часть_1;Часть_2;Часть_3;Часть_4;Часть_5;Часть_6
251,ВТ_Переводы_Устарело,temp_query,,251,0,1,true,false,
252,ВТ_СторнированныеСуммы,temp_query,,252,2,3,true,false,
255,ВТ_ВыплатыПР,temp_query,,255,10,0,false,false,Часть_1;Часть_2;Часть_3;Часть_4;Часть_5
266,ВТ_Выплаты,temp_query,,266,0,1,false,false,
267,ВТ_МГД_ПР,temp_query,,267,1,1,false,false,
269,ВТ_МГД,temp_query,,269,0,2,false,false,
270,ВТ_Умершие,temp_query,,270,0,2,false,false,
271,ВТ_ПенсионныеСчета_НачалоВыплат,temp_query,,271,1,1,false,false,
273,ВТ_ПериодичностьВыплат,temp_query,,273,1,1,false,false,
275,ВТ_Срочники,temp_query,,275,0,3,false,false,
276,ВТ_ВыплатныеСчета,temp_query,,276,0,1,false,false,
277,ВТ_ДатыОкончанияСрочныхВыплат,temp_query,,277,1,1,false,false,
279,ВТ_КоличествоВыплат,temp_query,,279,1,1,false,false,
281,ВТ_РасходВыплат,temp_query,,281,1,1,false,false,
283,ВТ_ОстаткиВыплат,temp_query,,283,0,2,false,false,
284,ВТ_ПоследниеВыплаты,temp_query,,284,0,2,false,false,
285,ВТ_ПоследниеВыплатыПоРегиструВыплат,temp_query,,285,2,2,false,false,
288,ВТ_РазмерПенсийФикс,temp_query,,288,1,1,false,false,
290,ВТ_РасчетныеСуммыПенсий,temp_query,,290,0,3,false,false,
291,ВТ_РазмерПенсий,temp_query,,291,0,5,false,false,
292,ВТ_ДополнительноВыкупнаяВкдачикуНетСПТ,temp_query,,292,0,4,false,false,
293,ВТ_РезультатПредв,temp_query,,293,3,0,false,false,Часть_1;Часть_2;Часть_3
297,ВТ_258НПО,temp_query,,297,0,1,true,false,
